tournament_id,map_name,started,event_type,x_cpn,y_cpn,z_cpn
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,625607.1875,232334.578125,2409.144775390625
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,482540.53125,264576.46875,2452.596435546875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,369442.25,414020.71875,3777.357177734375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,408663.625,345584.21875,171.4066619873047
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,578381.375,122852.6953125,25660.396484375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,645522.5625,245901.46875,36.133872985839844
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,577941.0625,131582.484375,25737.521484375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,454572.5,251425.1875,2094.5712890625
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,405119.4375,474404.9375,2904.100341796875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,341600.6875,401880.8125,3887.61328125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,626467.0625,352405.375,776.6458740234375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,557002.25,129208.6484375,26502.865234375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,374654.21875,359466.25,576.10791015625
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,494905.625,186475.34375,4342.37255859375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,614551.6875,50997.73828125,285.013671875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,527550.25,175599.40625,12073.1005859375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,495918.9375,188347.3125,4759.79833984375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,525788.125,174349.125,12342.8017578125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,493553.5,187423.375,4170.4501953125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,515624.34375,174700.15625,9246.5068359375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,492981.1875,187049.3125,4229.49609375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,579868.9375,38953.64453125,710.7943115234375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,557681.5,45259.01171875,752.6655883789062
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,487387.1875,78290.9765625,180.041748046875
kr-pkl18,Erangel,2019-02-07T05:49:39.9805344Z,LogParachuteLanding,598605.8125,128954.8046875,21362.220703125
kr-pkl18,Erangel,2019-02-07T05:49:39.9805344Z,LogParachuteLanding,580730.1875,136636.09375,24966.212890625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,168826.78125,147243.3125,3048.9814453125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,206774.578125,234697.3125,1266.86572265625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,171203.734375,192377.390625,1744.6739501953125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,220578.484375,241199.875,1200.976318359375
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,378375.875,129461.8203125,166.20738220214844
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,445804.75,282047.375,1134.0482177734375
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,423601.0,303547.46875,531.1690063476562
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,365286.5625,133396.390625,214.46519470214844
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,474908.5,248534.734375,1605.150146484375
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,393318.15625,288996.28125,1514.9921875
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,478632.25,296382.34375,1932.41064453125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,477427.25,292387.78125,1485.962158203125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,408252.84375,345383.78125,167.33836364746094
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,372882.59375,304475.6875,147.44802856445312
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,491739.28125,270638.09375,1635.0177001953125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,154245.375,300933.46875,1317.113525390625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,360207.1875,296501.0,1080.263916015625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,403156.15625,177772.296875,72.25975036621094
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,142184.328125,290398.1875,1117.18310546875
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,337061.65625,117054.6875,410.3202819824219
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,171317.328125,280044.84375,1132.9639892578125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,448068.625,310629.8125,616.8467407226562
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,321312.5,332386.21875,124.35327911376953
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,145245.765625,296713.15625,1112.8642578125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,452455.25,314590.8125,1008.0314331054688
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,372593.0625,361552.03125,619.8140869140625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,552266.3125,384905.34375,2243.175048828125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,465140.5,415097.4375,5130.521484375
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,567130.25,347875.28125,-18.70928192138672
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,443136.46875,424678.9375,1613.7147216796875
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,682459.625,424092.9375,1089.3428955078125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,677697.1875,291930.03125,753.3027954101562
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,614672.3125,357512.78125,306.4040222167969
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,682865.9375,437250.53125,711.29150390625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,691769.125,328342.1875,1135.4439697265625
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,368772.65625,415612.34375,3971.159912109375
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,688353.875,331471.75,1411.7755126953125
kr-pkl18,Erangel,2019-01-05T12:25:28.3503371Z,LogParachuteLanding,355832.03125,408206.8125,3789.63623046875
