,player,time_survived(s),dbnos,total_distance,headshot_kills,rank,win,time_survived(30m),num_of_attack,num_of_attack/30m,defender_num_of_attack,attacker_num_of_attack,attacker_num_of_attack/30m,displacement,shooting_distance,습득량,소비량,소비량/습득량,kill_groggy,make_groggy,확정킬_비율,acc,attacker_acc,defender_acc,kill,kill(30m),win_rate,type1_damage,type2_damage,damage,damage/30m,attacker_kill,attacker_kill(30m),attacker_win_rate,attacker_damage,attacker_damage/30m,defender_kill,defender_kill(30m),defender_win_rate,defender_damage,defender_damage/30m,n_of_type1,n_of_type2,survival_rate,type1_num_of_attack,type2_num_of_attack,attacker_survival_rate,type1_num_of_defense,type2_num_of_defense,defender_survival_rate,match_count
384,GEXA_ZhenNan,1028.8748333333335,0.5,4649.980885833334,0.20833333333333334,10.708333333333334,0.0,0.5715971296296297,45.333333333333336,68.94836070764738,5.905797101449275,1.6666666666666667,2.77087431637651,4873.480261932901,9473.846787496906,7.583333333333333,2.1666666666666665,0.26424929237429234,0.2916666666666667,0.5,0.24305555555555555,0.231037771388754,0.37616264044073633,0.15006481330136937,0.5416666666666666,0.8741704862373068,0.24305555555555555,57.218180100123085,79.84429893296313,137.06247903308622,216.79572378637158,0.4583333333333333,0.7374894636023238,0.3125,104.92302991351835,172.08663508703873,0.08333333333333333,0.13668102263498294,0.0625,32.13944911956787,44.709088699332824,1.5416666666666667,1.9166666666666667,0.5828703703703703,0.75,0.9166666666666666,0.5277777777777778,0.7916666666666666,1.0,0.517361111111111,24
383,GEXA_Savior,1031.5640833333334,0.8333333333333334,4561.4258479166665,0.16666666666666666,10.708333333333334,0.0,0.5730911574074073,42.041666666666664,68.78000782788085,7.013888888888889,1.6666666666666667,2.8475795653708444,3261.6109341165143,11593.731742924108,7.826086956521739,1.8695652173913044,0.23631326048205845,0.5,0.8333333333333334,0.3194444444444445,0.18634272954379652,0.36822487712127977,0.05249178700473267,0.6666666666666666,1.2800759465934954,0.24166666666666667,58.492395202318825,71.11660192166723,129.60899712398606,219.69085640623487,0.625,1.2067862352963263,0.3958333333333333,115.17773033931809,186.08693998181226,0.041666666666666664,0.07328971129716925,0.041666666666666664,14.431266784667969,33.60391642442268,1.6666666666666667,1.7083333333333333,0.6260416666666667,0.7083333333333334,0.9583333333333334,0.7604166666666666,0.9583333333333334,0.75,0.375,24
206,DGW_Melofo,1073.3918333333334,0.20833333333333334,5459.191082083333,0.0,10.458333333333334,0.0,0.5963287962962963,13.541666666666666,21.37013011264958,1.7681159420289854,0.625,0.9805731660738681,4630.023712982588,4561.062722805377,8.666666666666666,2.875,0.2839720396705691,0.125,0.20833333333333334,0.125,0.07946982984598759,0.33907726126544896,0.014492753623188404,0.16666666666666666,0.24320754428757438,0.08333333333333333,20.48725978533427,31.200162172317505,51.68742195765177,82.58169257367493,0.16666666666666666,0.24320754428757438,0.16666666666666666,50.10793383916219,81.01754526440637,0.0,0.0,0.0,1.5794881184895833,1.564147309268568,1.1666666666666667,1.3333333333333333,0.5090277777777777,0.25,0.375,0.3958333333333333,0.9166666666666666,0.9583333333333334,0.4166666666666667,24
382,GEXA_Lokslokkk,1019.1404583333334,0.875,4499.838121666666,0.125,10.708333333333334,0.0,0.5661891435185183,43.791666666666664,70.52534254927012,6.757936507936509,1.2916666666666667,2.4323605065854266,10305.415715839648,8783.700758718795,7.791666666666667,2.5416666666666665,0.33949013949013945,0.5833333333333334,0.875,0.40625,0.18168492756283391,0.3892018826584097,0.08563663849378134,0.7083333333333334,1.3879916855730656,0.2986111111111111,76.79460130652497,50.02137316311495,126.81597446963993,236.74221509204017,0.5,0.9903614563734688,0.3611111111111111,95.67971086070743,185.03479597363537,0.20833333333333334,0.39763022919959706,0.1111111111111111,31.136263608932495,51.70741911840477,1.7083333333333333,1.5,0.5875,0.7083333333333334,0.5833333333333334,0.5659722222222222,1.0,0.9166666666666666,0.4513888888888889,24
272,E36_satou,1100.2781249999996,0.625,6020.711310666668,0.08333333333333333,10.583333333333334,0.0,0.611265625,28.208333333333332,47.52370331260886,8.215277777777777,1.1666666666666667,2.36278298137946,3476.04212423598,7970.194517706847,8.458333333333334,1.9583333333333333,0.17910503848003848,0.375,0.625,0.25,0.22090992278243773,0.5576014179802844,0.054447493643922214,0.4583333333333333,0.7818151477004834,0.2708333333333333,44.451971769332886,59.401327020064066,103.85329878939694,211.79481012948017,0.375,0.6749759356583503,0.375,75.77207633469013,164.03378535893697,0.08333333333333333,0.10683921204213298,0.0625,28.08122245470683,47.76102477054318,1.375,1.7083333333333333,0.636111111111111,0.4166666666666667,0.75,0.625,0.9583333333333334,0.9583333333333334,0.47569444444444436,24
271,E36_amonot,1071.1595833333333,0.7916666666666666,5986.803819749999,0.2916666666666667,10.583333333333334,0.0,0.5950886574074076,31.791666666666668,52.68976524317551,6.694696969696969,1.25,1.911864239651331,2042.4036056153434,4686.349705534703,6.75,2.125,0.31123066748066747,0.5833333333333334,0.7916666666666666,0.3090277777777778,0.1586989356012348,0.4085802461784228,0.07028794873983374,0.75,1.1537279276454162,0.2590277777777778,53.41211457801527,43.85864566871671,97.27076024673198,157.41223492835684,0.625,0.9525011294643021,0.3527777777777778,65.59343182794915,98.43425456327525,0.125,0.20122679818111414,0.0625,31.67732841878283,58.97798036508156,1.7083333333333333,1.4166666666666667,0.5568452380952381,0.7083333333333334,0.5416666666666666,0.5194444444444445,1.0,0.875,0.37708333333333327,24
270,E36_Sylphia,1052.9861666666663,0.6666666666666666,5597.024502791667,0.08333333333333333,10.583333333333334,0.0,0.5849923148148148,50.333333333333336,77.52955345382185,9.754166666666666,1.75,2.8771870677678044,24463.081037466294,10220.422367194858,9.625,3.8333333333333335,0.3809049474490651,0.5,0.6666666666666666,0.34027777777777773,0.21276761865762248,0.43365228636820846,0.026741280619725815,0.7083333333333334,1.2494586977910624,0.34027777777777785,72.16866919451616,59.549769004186,131.71843819870216,217.86854303545053,0.7083333333333334,1.2494586977910624,0.5,123.44968427274289,204.18019489881382,0.0,0.0,0.0,8.268753925959269,13.6883481366367,1.625,1.5833333333333333,0.6222222222222222,0.8333333333333334,0.9166666666666666,0.7222222222222222,0.7916666666666666,0.6666666666666666,0.2881944444444444,24
33,AAP_k1lla,1237.9242500000003,0.75,5732.200825416668,0.041666666666666664,9.166666666666666,0.041666666666666664,0.6877356944444445,37.125,46.94930489671213,4.448611111111111,1.7083333333333333,2.1858615161134476,3210.432461933614,10424.656881522005,7.565217391304348,3.782608695652174,0.4157177363699103,0.5416666666666666,0.75,0.34027777777777773,0.15515298102079597,0.3336577068216476,0.07637260121546174,0.8333333333333334,1.076149247901497,0.2986111111111111,79.39080786705017,77.65879062811534,157.0495984951655,202.56465727401394,0.7083333333333334,0.9201864834488106,0.4583333333333333,125.4259523153305,153.9531025638386,0.125,0.15596276445268634,0.0625,31.623646179835003,48.611554710175334,1.8333333333333333,1.9583333333333333,0.5523629148629149,0.75,0.9583333333333334,0.625,1.0833333333333333,1.0,0.39444444444444443,24
207,DGW_SSeeS,1155.4155833333332,0.9166666666666666,5464.802946666667,0.125,10.458333333333334,0.0,0.6418975462962964,24.541666666666668,36.83990034061599,4.695833333333334,1.1666666666666667,1.8184014781573712,2151.0543330305413,5022.960062289564,9.791666666666666,3.375,0.31940085377585375,0.5416666666666666,0.9166666666666666,0.26805555555555555,0.14353505396545413,0.43755322877605485,0.0386897744217502,0.6666666666666666,1.0488412247153043,0.2465277777777778,52.34357819562757,51.01517883936564,103.35875703499322,155.50813772614484,0.5416666666666666,0.8998151867743155,0.375,79.42543624946622,120.2938611483276,0.125,0.1490260379409889,0.0625,23.93332078552699,35.21427657781728,1.6666666666666667,1.6666666666666667,0.5613425925925926,0.5416666666666666,0.625,0.5,1.125,1.0416666666666667,0.4152777777777778,24
387,GEX_MaoYe56,1154.4569583333332,0.6666666666666666,5259.11015075,0.125,9.458333333333334,0.0,0.6413649768518519,29.958333333333332,40.19156483820964,3.3753623188405792,1.375,1.9480246837489412,5491.483243325946,5365.265778334983,9.565217391304348,2.6956521739130435,0.2619466885771234,0.4583333333333333,0.6666666666666666,0.375,0.18926812699335785,0.45170001169146345,0.06647682157850462,0.75,1.0680374680719318,0.2881944444444445,64.03410736719768,59.60439360141754,123.63850096861522,171.87117817964665,0.5833333333333334,0.8461541061176611,0.4166666666666667,95.64763422807057,137.52064699851434,0.16666666666666666,0.2218833619542709,0.08333333333333333,27.990866740544636,34.350531181132276,1.7083333333333333,1.6666666666666667,0.5783730158730157,0.625,0.75,0.6875,1.0833333333333333,0.9166666666666666,0.41180555555555554,24
