player_id,team_name,player_name,match_count,attacker_health_diff,defender_health_diff,attacker_accuracy,defender_accuracy,battle_duration,battle_moved_distance,damage
GRF_Minsung,GRF,Minsung,106,-3.385727748,-49.57136175,0.545000413,0.326318061,35.067783,2795.492927,77.90818
MCG_EviLLee,MCG,EviLLee,96,-3.717098838,-45.92072747,0.603643539,0.436880581,65.63432,2580.669007,71.53729
AF_Shadow,AF,Shadow,94,-12.65041844,-49.85668404,0.595270656,0.361208457,28.518663,1476.590161,75.043205
LVG_Dowon,LVG,Dowon,94,-13.37616977,-57.22610708,0.589327366,0.354727772,66.47091,2874.434096,64.25054
RNG_XiaoA1sy,RNG,XiaoA1sy,90,-5.061541937,-49.86201916,0.5719741,0.406985674,44.044544,2253.356873,62.251312
LYG_Shmily,LYG,Shmily,90,-12.9913414,-40.53896603,0.597168926,0.311011093,70.23116,1856.065068,77.49778
NEXT_HS,NEXT,HS,90,-14.27210214,-50.8969435,0.547187365,0.36495935,58.076878,3587.459239,65.94845
OMG_xwudd_douyu,OMG,xwudd,90,-9.499941353,-57.66919651,0.590464413,0.416120878,48.49882,2421.567297,71.607445
NH_likeNan,NH,likeNan,90,-5.609829646,-51.56187931,0.532601779,0.376193184,17.549885,1981.852155,57.944103
Tian_M200_XHZ,Tian,M200,90,-11.99070803,-59.65363376,0.591325156,0.430418843,41.509857,2477.897008,67.84465
MQ_AzEeeeee,MQ,AzEeeeee,90,-16.98746118,-42.59314054,0.6126176,0.469931442,98.99499,1891.357607,71.986565
OMG_Fugue_douyu,OMG,Fugue,90,-13.38070341,-35.58125431,0.560917996,0.357243993,36.675663,2643.211526,66.50694
LYG_MiGo1337,LYG,MiGo1337,90,-15.30861537,-51.2628976,0.597604629,0.391718199,71.791306,3163.05417,73.06316
KX_Cobra,KX,Cobra,90,-14.12736409,-49.0491296,0.629438228,0.370723163,75.65143,1946.19469,80.461815
WOL_yyxovo_Tezo,WOL,yyxovo,90,-18.28836838,-45.84929003,0.578990976,0.437378715,46.93398,2579.043612,67.31138
SMG_17sixgod,SMG,17sixgod,90,-6.688036088,-65.42129451,0.596338813,0.507483069,68.41563,2175.231886,74.95462
OMG_MinMie_douyu,OMG,MinMie,90,-8.550246785,-40.42675698,0.534149347,0.458079607,33.077934,2471.452474,62.097015
OMG_Xbei_douyu,OMG,Xbei,90,-16.05918608,-38.50616983,0.62842104,0.337841586,50.557045,2097.951939,75.50217
NEXT_AZ,NEXT,AZ,90,-12.22992657,-42.46292667,0.571264416,0.418900319,45.0928,1751.713793,70.6456
RNG_ZpYan1,RNG,ZpYan1,90,-8.390589964,-48.39450012,0.616076125,0.403057832,60.239883,2769.151444,75.28694
NH_MmingDD,NH,MmingDD,90,-12.06020532,-45.93632153,0.620344967,0.457835074,64.611,1965.307379,74.67756
RNG_TangDD,RNG,TangDD,90,-8.443577824,-49.63130786,0.54245883,0.39386572,41.785362,2743.395778,59.345016
RNG_Loong,RNG,Loong,90,-8.348574956,-44.29037331,0.598407929,0.393957505,60.911606,1793.568618,69.93931
Tian_mingz1_XHZ,Tian,mingz1,90,-6.298216569,-38.64670973,0.546904541,0.297933431,55.634224,3392.473924,67.39191
Tian_LuRenA_XHZ,Tian,LuRenA,90,-16.53509067,-58.55124527,0.55064588,0.460451839,52.54198,3048.633149,66.450584
KX_XingXing,KX,XingXing,90,-16.69835651,-47.44998496,0.56633145,0.366791682,67.27441,2505.911254,70.86604
KX_Dy577,KX,Dy577,90,-8.432331085,-39.44989496,0.557641696,0.374942901,31.074612,3839.809267,70.50277
Tian_NN_XHZ,Tian,NN,90,-10.16668029,-35.35710453,0.574275742,0.411468336,44.405323,2710.216403,72.97177
QM_ScccWF,QM,ScccWF,90,-13.59853054,-46.17789347,0.613863678,0.319327435,54.56147,1536.197763,65.7964
LYG_Dec12th,LYG,Dec12th,90,-12.73690887,-52.94526653,0.584036422,0.419242106,23.267786,2054.106941,67.57043
SMG_17Mad98,SMG,17Mad98,90,-12.91864327,-47.82795039,0.599605632,0.427086315,58.63949,1225.109077,77.34795
EM_Lash,EM,Lash,90,-17.47379535,-50.11027434,0.610577867,0.397830205,63.26035,1441.583379,80.90873
T1_Akad,T1,Akad,90,-9.45924416,-62.44257501,0.590605599,0.410380178,43.989048,2336.145106,77.72098
EM_Makne,EM,Makne,90,-11.44522502,-49.83288495,0.612548997,0.415584799,52.941628,2218.777853,71.77452
RYE_udyRR,RYE,udyRR,90,-3.29297142,-43.48061912,0.527253195,0.268991686,58.18555,3378.994899,65.23131
RYE_Shiv,RYE,Shiv,90,-5.988431862,-45.53752378,0.546160393,0.357161873,63.077847,3344.255229,69.762405
RYE_mOnKeY,RYE,mOnKeY,90,-12.47174846,-35.51864484,0.587112191,0.403917075,35.678055,2595.640281,73.86941
QDR_yacha,QDR,yacha,90,-19.28689913,-55.54115259,0.565190864,0.429471569,62.29849,2624.066096,67.84072
VSG_Hulk,VSG,Hulk,90,-9.131858018,-48.09432437,0.636572137,0.423794791,64.91514,2502.860935,71.23508
QDR_Renba,QDR,Renba,90,-11.4465814,-44.86987377,0.576180539,0.469310597,51.511696,3104.053203,66.01726
