,weapon,x,y
205,Item_Weapon_Mini14_C,573478.5625,423606.5
206,Item_Weapon_SCAR-L_C,475505.9375,471670.28125
207,Item_Weapon_AK47_C,405184.59375,294116.0625
208,Item_Weapon_Mini14_C,343899.28125,321456.0625
209,Item_Weapon_HK416_C,635343.0,422822.65625
210,Item_Weapon_Mini14_C,443562.71875,636387.375
211,Item_Weapon_HK416_C,334957.6875,219140.453125
212,Item_Weapon_SKS_C,591112.0,472785.71875
213,Item_Weapon_FNFal_C,470358.75,639684.875
214,Item_Weapon_SCAR-L_C,470358.75,639684.875
215,Item_Weapon_BerylM762_C,344978.625,321828.21875
216,Item_Weapon_Kar98k_C,448416.875,295469.6875
217,Item_Weapon_SKS_C,572075.1875,349786.1875
218,Item_Weapon_SKS_C,593913.125,297542.40625
219,Item_Weapon_HK416_C,625154.1875,302327.625
220,Item_Weapon_AK47_C,573591.875,424974.34375
221,Item_Weapon_HK416_C,362534.90625,392983.03125
222,Item_Weapon_SCAR-L_C,442635.90625,640541.8125
223,Item_Weapon_Mini14_C,594067.6875,298497.6875
224,Item_Weapon_M24_C,640200.375,469679.875
225,Item_Weapon_FNFal_C,442140.46875,640401.3125
226,Item_Weapon_AK47_C,433233.78125,451409.625
227,Item_Weapon_HK416_C,657308.8125,354172.34375
228,Item_Weapon_SCAR-L_C,364728.5625,409830.46875
229,Item_Weapon_HK416_C,573066.1875,348023.28125
230,Item_Weapon_AK47_C,442888.21875,337507.625
231,Item_Weapon_HK416_C,443990.4375,330050.90625
232,Item_Weapon_SKS_C,622248.3125,371974.90625
233,Item_Weapon_BerylM762_C,614294.1875,258049.890625
234,Item_Weapon_AK47_C,392207.84375,286498.28125
235,Item_Weapon_Kar98k_C,372707.15625,416102.03125
236,Item_Weapon_AK47_C,623247.6875,234644.9375
237,Item_Weapon_FNFal_C,601194.875,479938.65625
238,Item_Weapon_AK47_C,564280.875,384585.28125
239,Item_Weapon_HK416_C,181249.515625,148071.984375
240,Item_Weapon_Mini14_C,623978.0625,372423.125
241,Item_Weapon_FNFal_C,625080.375,302347.1875
242,Item_Weapon_SKS_C,464000.34375,425777.03125
243,Item_Weapon_Mini14_C,684704.0,461703.65625
244,Item_Weapon_HK416_C,559755.3125,498668.46875
245,Item_Weapon_BerylM762_C,533071.6875,235570.3125
246,Item_Weapon_Mini14_C,182093.171875,147333.953125
247,Item_Weapon_SKS_C,598634.9375,598692.125
248,Item_Weapon_Mini14_C,697977.25,345020.28125
249,Item_Weapon_HK416_C,600334.75,478955.0625
250,Item_Weapon_FNFal_C,568714.5625,348706.90625
251,Item_Weapon_Mini14_C,425265.78125,326584.125
252,Item_Weapon_FNFal_C,498479.84375,182404.8125
253,Item_Weapon_FNFal_C,685810.375,461150.78125
254,Item_Weapon_FNFal_C,508486.78125,381626.28125
255,Item_Weapon_SCAR-L_C,401101.625,293501.65625
256,Item_Weapon_SCAR-L_C,382272.0,114524.828125
257,Item_Weapon_HK416_C,390582.625,347403.90625
258,Item_Weapon_HK416_C,359021.875,405797.875
259,Item_Weapon_HK416_C,436925.34375,637719.625
260,Item_Weapon_Mini14_C,390325.0,346527.9375
261,Item_Weapon_FNFal_C,657521.4375,354412.0
262,Item_Weapon_HK416_C,371692.0,414549.3125
263,Item_Weapon_SCAR-L_C,550232.0625,253725.546875
264,Item_Weapon_SCAR-L_C,463515.0625,423736.5
265,Item_Weapon_SKS_C,390475.0625,344862.71875
266,Item_Weapon_HK416_C,364608.4375,406939.125
267,Item_Weapon_AK47_C,413275.46875,480524.3125
268,Item_Weapon_AK47_C,508555.625,382971.75
269,Item_Weapon_AK47_C,426932.21875,155018.015625
270,Item_Weapon_SCAR-L_C,641817.8125,468702.46875
271,Item_Weapon_Mini14_C,472553.0625,474630.125
272,Item_Weapon_SKS_C,440492.4375,338246.15625
273,Item_Weapon_SCAR-L_C,472578.28125,474653.625
274,Item_Weapon_Mini14_C,215802.09375,396342.59375
275,Item_Weapon_HK416_C,572814.875,420793.0
276,Item_Weapon_M24_C,550935.0625,253052.96875
277,Item_Weapon_SKS_C,427550.9375,155317.46875
278,Item_Weapon_SCAR-L_C,585773.125,478596.0
279,Item_Weapon_HK416_C,302066.09375,565435.1875
280,Item_Weapon_AK47_C,512775.625,502624.1875
281,Item_Weapon_AK47_C,216254.828125,396675.3125
282,Item_Weapon_FNFal_C,361683.84375,404868.3125
283,Item_Weapon_HK416_C,703232.125,342972.0625
284,Item_Weapon_Mini14_C,397993.28125,294751.90625
285,Item_Weapon_FNFal_C,449159.5,300150.90625
286,Item_Weapon_Mini14_C,573214.375,385625.34375
287,Item_Weapon_HK416_C,142468.84375,123394.5859375
288,Item_Weapon_FNFal_C,127597.9453125,128260.4140625
289,Item_Weapon_Mini14_C,718512.9375,445872.625
290,Item_Weapon_FNFal_C,550475.8125,254156.4375
291,Item_Weapon_HK416_C,641460.3125,469048.78125
292,Item_Weapon_SCAR-L_C,687097.75,460776.9375
293,Item_Weapon_SKS_C,372858.90625,413178.5625
294,Item_Weapon_Mini14_C,710820.6875,328918.34375
295,Item_Weapon_SCAR-L_C,496764.78125,184820.21875
296,Item_Weapon_FNFal_C,425209.0625,153593.78125
297,Item_Weapon_HK416_C,215246.4375,360935.0625
298,Item_Weapon_HK416_C,572865.6875,385664.84375
299,Item_Weapon_Kar98k_C,364411.5,395458.9375
300,Item_Weapon_HK416_C,719521.0,446763.0625
301,Item_Weapon_HK416_C,547078.3125,235816.109375
302,Item_Weapon_SCAR-L_C,599867.875,467882.34375
303,Item_Weapon_FNFal_C,510836.1875,502682.03125
304,Item_Weapon_FNFal_C,622858.3125,240849.21875
305,Item_Weapon_BerylM762_C,622854.125,240839.59375
306,Item_Weapon_SKS_C,719521.0,446763.0625
307,Item_Weapon_FNFal_C,623213.875,378472.90625
308,Item_Weapon_HK416_C,494963.34375,264422.75
309,Item_Weapon_Mini14_C,369009.78125,508296.65625
310,Item_Weapon_SCAR-L_C,369010.21875,508284.9375
311,Item_Weapon_Mini14_C,325941.59375,526603.5
312,Item_Weapon_SCAR-L_C,288599.5,266038.09375
313,Item_Weapon_HK416_C,426897.34375,152159.5625
314,Item_Weapon_Mini14_C,647093.0625,419059.625
315,Item_Weapon_SKS_C,141095.703125,119853.0546875
316,Item_Weapon_Kar98k_C,415572.28125,479018.5
317,Item_Weapon_HK416_C,496829.21875,187159.078125
318,Item_Weapon_HK416_C,432495.4375,446058.78125
319,Item_Weapon_FNFal_C,488516.15625,455152.4375
320,Item_Weapon_HK416_C,549607.9375,253678.65625
321,Item_Weapon_SCAR-L_C,219170.0625,396822.625
322,Item_Weapon_SCAR-L_C,207660.703125,236970.015625
323,Item_Weapon_SCAR-L_C,323432.40625,521224.5625
324,Item_Weapon_Mini14_C,304740.40625,561702.625
325,Item_Weapon_Mini14_C,604001.25,602712.8125
326,Item_Weapon_HK416_C,304741.53125,561713.25
