,weapon,x,y
361,Item_Weapon_HK416_C,539513.625,461994.59375
362,Item_Weapon_FNFal_C,166576.25,277878.125
363,Item_Weapon_BerylM762_C,126788.6953125,124526.078125
364,Item_Weapon_FNFal_C,217820.09375,469596.5
365,Item_Weapon_BerylM762_C,407616.21875,301274.34375
366,Item_Weapon_BerylM762_C,160796.9375,457899.90625
367,Item_Weapon_SKS_C,538815.8125,461387.34375
368,Item_Weapon_BerylM762_C,203192.03125,241278.03125
369,Item_Weapon_BerylM762_C,217096.671875,469122.0625
370,Item_Weapon_BerylM762_C,586482.5625,478993.75
371,Item_Weapon_HK416_C,433010.5625,446205.4375
372,Item_Weapon_BerylM762_C,548850.1875,239957.9375
373,Item_Weapon_Mini14_C,441008.84375,334593.75
374,Item_Weapon_FNFal_C,221437.9375,396928.65625
375,Item_Weapon_FNFal_C,106664.015625,450411.375
376,Item_Weapon_HK416_C,409050.78125,284155.3125
377,Item_Weapon_HK416_C,300908.40625,505775.5
378,Item_Weapon_SKS_C,290629.15625,447368.5
379,Item_Weapon_SCAR-L_C,380848.0,474634.625
380,Item_Weapon_SCAR-L_C,415399.78125,479120.90625
381,Item_Weapon_FNFal_C,230309.21875,250545.734375
382,Item_Weapon_FNFal_C,186853.5625,225311.4375
383,Item_Weapon_BerylM762_C,638439.0625,471298.1875
384,Item_Weapon_Mini14_C,162891.703125,291435.78125
385,Item_Weapon_HK416_C,266345.28125,392812.625
386,Item_Weapon_FNFal_C,621056.0625,296463.59375
387,Item_Weapon_FNFal_C,440193.5,332155.21875
388,Item_Weapon_Mini14_C,373369.0625,361372.1875
389,Item_Weapon_FNFal_C,294694.5,440113.34375
390,Item_Weapon_BerylM762_C,440880.78125,331580.21875
391,Item_Weapon_FNFal_C,542960.4375,237433.140625
392,Item_Weapon_HK416_C,570800.0625,249060.59375
393,Item_Weapon_BerylM762_C,196745.671875,218544.421875
394,Item_Weapon_BerylM762_C,715063.6875,326264.0
395,Item_Weapon_FNFal_C,629530.75,375129.5625
396,Item_Weapon_Kar98k_C,304486.4375,407610.0625
397,Item_Weapon_BerylM762_C,416629.0625,475580.4375
398,Item_Weapon_AK47_C,304505.28125,407599.21875
399,Item_Weapon_SKS_C,536432.9375,241850.109375
400,Item_Weapon_SKS_C,728587.6875,434629.375
401,Item_Weapon_Kar98k_C,304513.28125,407622.125
402,Item_Weapon_FNFal_C,401823.59375,284875.3125
403,Item_Weapon_FNFal_C,510555.625,500050.84375
404,Item_Weapon_BerylM762_C,276854.03125,394857.40625
