map_name,started,item_id,category,name,x,y,z
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,eU_GICE,473142.84375,578803.125,20306.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Upper_Scope6x_C,Attachment,Uniq_MSTRBTR,619499.4375,631288.375,-680.9500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Head_E_01_Lv1_C,Equipment,Uniq_ADOUZ1E,620543.0625,622736.3125,-1119.449951171875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Pan_C,Weapon,ExG_TRYFFELI,519653.90625,507593.71875,17943.259765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Boost_EnergyDrink_C,Use,eU_Vegas,513205.1875,592331.3125,20025.080078125
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Upper_DotSight_01_C,Attachment,Uniq_MSTRBTR,619334.125,632464.125,-682.3699951171875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Armor_D_01_Lv2_C,Equipment,eU_GICE,473887.3125,579775.5,20306.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_HK416_C,Weapon,ExG_TRYFFELI,519271.34375,508164.84375,17943.259765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Lower_Foregrip_C,Attachment,Uniq_Standin,619418.8125,599395.0625,3581.719970703125
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Upper_Holosight_C,Attachment,eU_GICE,473917.90625,579695.875,20306.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,ExG_TRYFFELI,519280.3125,508165.625,17943.259765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Grenade_C,Equipment,ExG_miikaz,573670.3125,555332.8125,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Armor_E_01_Lv1_C,Equipment,ExG_TRYFFELI,519294.78125,508194.28125,17943.259765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Upper_Aimpoint_C,Attachment,ExG_miikaz,573648.3125,555307.5625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_SmokeBomb_C,Equipment,Uniq_MSTRBTR,619609.125,633048.8125,-682.3699951171875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Heal_FirstAid_C,Use,eU_TaylorJay,439811.875,563264.8125,18002.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Pan_C,Weapon,Uniq_MSTRBTR,619601.875,633044.3125,-682.3699951171875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_HK416_C,Weapon,eU_GICE,473272.1875,578701.625,20306.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Heal_Bandage_C,Use,eU_TaylorJay,439860.9375,563907.625,18002.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Magazine_QuickDraw_Large_C,Attachment,eU_TaylorJay,439910.0625,563926.25,18002.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Kar98k_C,Weapon,ELGIG_dEAGZ,477321.03125,515784.9375,18627.009765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_SCAR-L_C,Weapon,ELGIG_dEAGZ,477321.46875,515785.15625,18627.009765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_SKS_C,Weapon,eU_Vegas,513440.4375,591823.5,19697.08984375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Head_F_01_Lv2_C,Equipment,ExG_TRYFFELI,519308.46875,509424.3125,17643.259765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,eU_Vegas,513444.5625,591829.125,19697.08984375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,ELGIG_dEAGZ,477321.46875,515785.15625,18627.009765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,Uniq_ADOUZ1E,619537.5,623305.0,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,ELGIG_dEAGZ,477321.46875,515785.15625,18627.009765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,Uniq_ADOUZ1E,619537.375,623300.0,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,ELGIG_dEAGZ,477321.46875,515785.15625,18627.009765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_BerylM762_C,Weapon,ExG_miikaz,573809.75,553750.0625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,ELGIG_dEAGZ,477321.375,515785.15625,18627.009765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Magazine_Extended_SniperRifle_C,Attachment,eU_GICE,473753.4375,578903.25,20306.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Mini14_C,Weapon,Uniq_ADOUZ1E,619537.375,623299.3125,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_SCAR-L_C,Weapon,ExG_miikaz,573809.75,553750.0625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_UMP_C,Weapon,Uniq_ADOUZ1E,619537.3125,623296.8125,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,ExG_miikaz,573809.75,553750.0625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_9mm_C,Ammunition,Uniq_ADOUZ1E,619537.25,623291.375,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,ExG_miikaz,573809.75,553750.0625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_9mm_C,Ammunition,Uniq_ADOUZ1E,619537.1875,623289.0625,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_9mm_C,Ammunition,Uniq_ADOUZ1E,619533.75,623299.0625,-769.4500122070312
Miramar,2018-12-06T17:03:22.4730725Z,Item_Head_E_02_Lv1_C,Equipment,ELGIG_Savage,503733.625,537539.875,20543.888671875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_AK47_C,Weapon,Uniq_MSTRBTR,617732.4375,633256.625,-662.1799926757812
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,ExG_miikaz,573809.75,553750.0625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,Uniq_MSTRBTR,617733.75,633252.25,-662.1799926757812
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_BerylM762_C,Weapon,eU_PistolaTime,438072.3125,616791.625,15969.9296875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,Uniq_MSTRBTR,617732.25,633260.875,-662.1799926757812
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,ExG_miikaz,573809.75,553750.0625,13688.609375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,eU_PistolaTime,438072.3125,616791.625,15969.9296875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_762mm_C,Ammunition,eU_PistolaTime,438072.3125,616791.625,15969.9296875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Armor_D_01_Lv2_C,Equipment,eU_PistolaTime,438072.3125,616791.625,15969.9296875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Pan_C,Weapon,ExG_TRYFFELI,519253.0625,508622.34375,17643.259765625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Ammo_556mm_C,Ammunition,eU_TaylorJay,439933.625,562343.875,17702.150390625
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_E_01_Lv1_C,Equipment,Uniq_Standin,620659.5625,597774.9375,3615.889892578125
